Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_84da00f5	skp	БОЖЕ МОЙ.	game/act_first.rpy	116	skp "[what]"
start_0cdb8967	skp	Угроза класса...	game/act_first.rpy	119	skp "[what]"
start_76baa873	skp	БЛЯДЬ!	game/act_first.rpy	123	skp "[what]"
start_987b1709	skp	СВАЛИВАЙТЕ ОТСЮДА! ПОКА...	game/act_first.rpy	125	skp "[what]"
start_600ee120	me	Ну вот...	game/act_first.rpy	129	me "[what]"
start_603d33fb	me	Кажется, добралось и до меня!	game/act_first.rpy	131	me "[what]"
start_289d91f5	me	Я закрыла глаза и всё что было вокруг словно исчезло.	game/act_first.rpy	144	me "[what]"
start_6b3a8230	me	Ни цветов...	game/act_first.rpy	146	me "[what]"
start_3a995e6f	me	Ни звуков...	game/act_first.rpy	148	me "[what]"
start_3f8ed79b	me	Тишина.	game/act_first.rpy	150	me "[what]"
start_3820771a	me	...	game/act_first.rpy	152	me "[what]"
start_fd54a3b9	me	Возможно, это и не самый худший вариант встретить вечость	game/act_first.rpy	154	me "[what]"
start_3820771a_1	me	...	game/act_first.rpy	156	me "[what]"
start_3820771a_2	me	...	game/act_first.rpy	158	me "[what]"
start_ad02f53a	me	Что?	game/act_first.rpy	162	me "[what]"
start_f9d9269b	me	Откуда свет?	game/act_first.rpy	164	me "[what]"
start_53104f31	me	Какого чёрта?	game/act_first.rpy	166	me "[what]"
start_3820771a_3	me	...	game/act_first.rpy	168	me "[what]"
start_227df12f	me	Боже мой!	game/act_first.rpy	170	me "[what]"
start_4473dabf	me	Оно уносит меня	game/act_first.rpy	172	me "[what]"
start_de0a04d3	me	...............	game/act_first.rpy	174	me "[what]"
act_first_review_3e1f238b	nobody_knight	Добро пожаловать, рад приветствовать тебя здесь!	game/act_first.rpy	227	nobody_knight "[what]"
act_first_review_a6606ae8	nobody_knight	Надеюсь, ты не против, если мы сразу перейдём на ты?	game/act_first.rpy	229	nobody_knight "[what]"
act_first_review_305a74f1	me	Светлый и уютный кабинет на одиннадцатом этаже	game/act_first.rpy	233	me "[what]"
act_first_review_65f40b35	me	Я готовилась к этому моменту целый год...	game/act_first.rpy	235	me "[what]"
act_first_review_979c8c55	me	Но не могу отрицать, что по прежнему безумно нервничаю	game/act_first.rpy	237	me "[what]"
act_first_review_67a19ecd	iam	Д-да...	game/act_first.rpy	239	iam "[what]"
act_first_review_2a8c6807	iam	Конечно...	game/act_first.rpy	241	iam "[what]"
act_first_review_ddc06837	me	Передо мной за столом сидел молодой парень.	game/act_first.rpy	243	me "[what]"
act_first_review_70c79b83	me	Его лёгкая улыбка хотя бы слегка меня успокаивала.	game/act_first.rpy	245	me "[what]"
act_first_review_8718b4dd	nobody_knight	Вот и замечательно, не стоит переживать...	game/act_first.rpy	251	nobody_knight "[what]"
act_first_review_225f042a	nobody_knight	Это не экзамен и даже не собеседование на работу.	game/act_first.rpy	253	nobody_knight "[what]"
act_first_review_281ae4ec	nobody_knight	Относись к этому, как к задушевной беседе, а я постараюсь сделать всё, чтобы такой она и ощущалась.	game/act_first.rpy	255	nobody_knight "[what]"
act_first_review_de7c22b2	nobody_knight	Всего лишь несколько стандартных вопросов.	game/act_first.rpy	260	nobody_knight "[what]"
act_first_review_09f949cd	nobody_knight	Меня зовут Алекс, глава психологической подготовки Стражей Протектората.	game/act_first.rpy	265	nobody_knight "[what]"
act_first_review_a248c31d	iam	Очень приятно, Алекс, я Айрин.	game/act_first.rpy	267	iam "[what]"
act_first_review_ea9a3ba0	fake_knight	О, нет, нет, нет!	game/act_first.rpy	272	fake_knight "[what]"
act_first_review_bb3dcf7f	fake_knight	В этом здании, а также всё время пока ты в костюме, гражданское имя уходит на покой.	game/act_first.rpy	274	fake_knight "[what]"
act_first_review_c9002e97	fake_knight	Надеюсь у тебя уже есть прозвище.	game/act_first.rpy	279	fake_knight "[what]"
act_first_review_77c6c37c	fake_knight	Если нет, то мы можем прямо сейчас накидать варианты.	game/act_first.rpy	281	fake_knight "[what]"
act_first_review_dde983d2	iam	Искра...	game/act_first.rpy	283	iam "[what]"
act_first_review_284fa881	me	Первый раз, придуманное мной прозвище было произносить невероятно неловко.	game/act_first.rpy	285	me "[what]"
act_first_review_916384c2	me	Как будто надо было выбрать что-то взрослее.	game/act_first.rpy	287	me "[what]"
act_first_review_68f69cdc	fake_knight	Боже, как это мило.	game/act_first.rpy	292	fake_knight "[what]"
act_first_review_c66b48a0	me	Он, что-то записал в бланк, который находился перед ним.	game/act_first.rpy	294	me "[what]"
act_first_review_3647cfcc	fake_knight	Искра, расскажи, что тебя мотивировало присоединиться к Стражам?	game/act_first.rpy	296	fake_knight "[what]"
act_first_review_7e81aa6d	fake_knight	В основном в Стражи вступают в школьники, которые особенно остро принимают свои способности.	game/act_first.rpy	298	fake_knight "[what]"
act_first_review_dfbbfff9	fake_knight	Им необходима поддержка родителей, учителей и общества в целом.	game/act_first.rpy	300	fake_knight "[what]"
act_first_review_31ef0306	fake_knight	Насколько мне известно, твой триггер случился больше года назад.	game/act_first.rpy	302	fake_knight "[what]"
act_first_review_62332b4b	fake_knight	Значит ли это, что ты приняла себя как кейпа?	game/act_first.rpy	304	fake_knight "[what]"
act_first_review_f8b63c5c	me	Ничего себе простая задушевная беседа!	game/act_first.rpy	306	me "[what]"
act_first_review_3cbe57b0	iam	Я бы так не сказала.	game/act_first.rpy	308	iam "[what]"
act_first_review_8c28d503	iam	По правде говоря, даже сейчас мне сложно осознавать кто я.	game/act_first.rpy	310	iam "[what]"
act_first_review_42504965	iam	По крайней мере, у меня есть желание помогать и быть полезной.	game/act_first.rpy	312	iam "[what]"
act_first_review_ae1abf69	fake_knight	Примерно так я и думал, но всё-таки, это серьёзное решение - постоянные тренировки, дежурства, публичные выступления, повышенный контроль к тебе и твоей силе.	game/act_first.rpy	314	fake_knight "[what]"
act_first_review_ecd77693	fake_knight	Ты уверена, что готова?	game/act_first.rpy	316	fake_knight "[what]"
act_first_review_9e94ed1c	iam	Кажется я наоборот, уж слишком долго готовилась к тому, чтобы прийти сюда.	game/act_first.rpy	318	iam "[what]"
act_first_review_195faa7d	me	Алекс снова что-то записал в бланк.	game/act_first.rpy	320	me "[what]"
act_first_review_c25f33f4	fake_knight	Понимаю, иногда принятие может быть действительно болезненным.	game/act_first.rpy	325	fake_knight "[what]"
act_first_review_fde12087	fake_knight	Ладно, теперь немного про твои способности...	game/act_first.rpy	327	fake_knight "[what]"
act_first_review_2d0edafb	me	Я зависла на некоторое время...	game/act_first.rpy	329	me "[what]"
act_first_review_736ffe87	iam	Манипуляция электрическими полями...	game/act_first.rpy	331	iam "[what]"
act_first_review_e6cd1eb9	iam	Могу поглощать электричество из приборов, перенаправлять электроэнергию	game/act_first.rpy	333	iam "[what]"
act_first_review_2537d1a0	iam	Использовать электрические поля для защиты и обороны...	game/act_first.rpy	335	iam "[what]"
act_first_review_0ee61ab0	iam	Могу намагнитить поверхность, но не любую.	game/act_first.rpy	337	iam "[what]"
act_first_review_9363a749	iam	Если честно, я кажется и сама до конца не понимаю.	game/act_first.rpy	339	iam "[what]"
act_first_review_57d67164	fake_knight	Ох, ничего себе. Звучит неплохо.	game/act_first.rpy	341	fake_knight "[what]"
act_first_review_4485262a	fake_knight	Говоришь так, будто уже успела ни раз применить в бою.	game/act_first.rpy	343	fake_knight "[what]"
act_first_review_9de2fecc	iam	Нет...	game/act_first.rpy	345	iam "[what]"
act_first_review_fa9059ec	iam	Вовсе нет!	game/act_first.rpy	347	iam "[what]"
act_first_review_dbf2476b	iam	Я тренировалась сама. Слишком боялась навредить кому либо...	game/act_first.rpy	349	iam "[what]"
act_first_review_ec9993f9	iam	Но однажды, пришлось использовать, но судя по всему...	game/act_first.rpy	351	iam "[what]"
act_first_review_5babd1ca	fake_knight	Эффект Мантона?	game/act_first.rpy	353	fake_knight "[what]"
act_first_review_e19e8e11	iam	Да, именно он. Поэтому максимум - отбросить противника подальше, и то, если хватит энергии.	game/act_first.rpy	355	iam "[what]"
act_first_review_79c44ac4	fake_knight	Понял тебя, так всё и запишим.	game/act_first.rpy	357	fake_knight "[what]"
act_first_review_cc3b9ad0	me	Пока он нерасторопно заполнял бланк, я решила осмотреться.	game/act_first.rpy	359	me "[what]"
act_first_review_49edcc6a	me	Фотография, где Азимут и Заряд арестовывают Скрытня.	game/act_first.rpy	366	me "[what]"
act_first_review_c2a7aef2	me	Он вместе со своей бандой 'Независимые', почти четырнадцать дней удержил заложников в Торговом центре.	game/act_first.rpy	368	me "[what]"
act_first_review_9376dbd9	me	Азимут смог определить, что способность Скрытня: не позволяет удерживать в памяти момент дольше одной секунды, когда кто-либо смотрит на него.	game/act_first.rpy	370	me "[what]"
act_first_review_32d01f7e	me	Это распротранялось даже если наблюдать за ним с помощью камер.	game/act_first.rpy	372	me "[what]"
act_first_review_fee54295	me	Однако манипуляция со звуковыми полями сделала своё дело!	game/act_first.rpy	374	me "[what]"
act_first_review_7a48c4ea	me	Позади Алекса, у окна, я заметила очень необычный меч.	game/act_first.rpy	381	me "[what]"
act_first_review_5fb5bc0a	me	Я едва заметно наэлектризовала поверхность, используя питание собственного мобильника	game/act_first.rpy	387	me "[what]"
act_first_review_34e88ad3	me	А меч, однако, не простой	game/act_first.rpy	389	me "[what]"
act_first_review_d92a0ec4	me	Я ощущаю множество мелких движующих частиц	game/act_first.rpy	391	me "[what]"
act_first_review_7670b6c0	me	Как будто меч - это единый организм и способен видоизменять себя в процессе боя	game/act_first.rpy	393	me "[what]"
act_first_review_5f894371	me	Интересно...	game/act_first.rpy	395	me "[what]"
act_first_review_54a31c8c	me	Выглядит как очень качественная сталь, но что-то конкретней сказать сложно	game/act_first.rpy	399	me "[what]"
act_first_review_364f4d69	me	Оружие однозначно необычное, может его создал какой-то технарь.	game/act_first.rpy	401	me "[what]"
act_first_review_a259fd63	me	Технарь, который специализируется на модификации кристалических решёток.	game/act_first.rpy	403	me "[what]"
act_first_review_5c4aa976	me	Не могу вспоминать ни одного героя Протектората с такими способностями.	game/act_first.rpy	405	me "[what]"
act_first_review_9aa763ce	me	Было бы интересно узнать, кто же это.	game/act_first.rpy	407	me "[what]"
act_first_review_f34a8a81	me	А рядом награда...	game/act_first.rpy	414	me "[what]"
act_first_review_b2e262ef	iam	Невероятно! Я и не знала, что кто-то из местных героев принимал участие в битве с Левиофаном.	game/act_first.rpy	416	iam "[what]"
act_first_review_7387aece	fake_knight	Разумеется, ты не знала. Если бы информация была открытой, представь, к чему это могло бы привести?	game/act_first.rpy	418	fake_knight "[what]"
act_first_review_c0bdced2	iam	К чему же? Разве люди не должны знать о героях, защищающих их?	game/act_first.rpy	420	iam "[what]"
act_first_review_06956826	fake_knight	Представь, что произойдет, если общественность узнает, что наши герои сражаются с Губителем за пределами США?	game/act_first.rpy	422	fake_knight "[what]"
act_first_review_f479cbf5	iam	То есть, люди могут подумать, что герой действует в интересах другой страны?	game/act_first.rpy	424	iam "[what]"
act_first_review_59aed2d1	fake_knight	Именно. Возникнет множество вопросов о мотивации отдельных героев Протектората.	game/act_first.rpy	426	fake_knight "[what]"
act_first_review_58ec6f83	fake_knight	Не дай бог, если нам придётся столкнуться с угрозой такого уровня...	game/act_first.rpy	428	fake_knight "[what]"
act_first_review_f8f2ffc7	fake_knight	Если бы граждане знали так много, не требовали бы они поддержки со стороны, в данном случаае, Японии?	game/act_first.rpy	430	fake_knight "[what]"
act_first_review_1e4a04fe	iam	Это звучит невероятно сложно. Я никогда не думала о героях как о фигурах, влияющих на мировую политику.	game/act_first.rpy	432	iam "[what]"
act_first_review_27c6c8ee	fake_knight	Совсем скоро, ты тоже станешь частью всего этого.	game/act_first.rpy	434	fake_knight "[what]"
act_first_review_0eb2c76b	me	Кажется, он закончил писать	game/act_first.rpy	436	me "[what]"
act_first_review_8cc8365a	fake_knight	Ты прекрасно справляешься, осталось ещё несколько вопросов.	game/act_first.rpy	445	fake_knight "[what]"
act_first_review_5f7c4aae	me	Я ощутила облегчение.	game/act_first.rpy	447	me "[what]"
act_first_review_6fc674b5	fake_knight	Ты в центре боевых действий, твой напарник не может обеспечить себе отступление самостоятельно	game/act_first.rpy	449	fake_knight "[what]"
act_first_review_5b524421	fake_knight	Есть выбор - убраться подальше самой, вернувшись с подкреплением и надеяться, что он ещё жив или же оставиться из защищать до последнего?	game/act_first.rpy	451	fake_knight "[what]"
act_first_review_a947414d	iam	Определённо второе!	game/act_first.rpy	453	iam "[what]"
act_first_review_814f096f	fake_knight	Именно так мы и отвечаем перед камерами.	game/act_first.rpy	455	fake_knight "[what]"
act_first_review_9a538089	fake_knight	Но сейчас я хочу услышать рациональный честный ответ, с объяснениями.	game/act_first.rpy	457	fake_knight "[what]"
act_first_review_1b4bba27	iam	Думаете я не откровенна?	game/act_first.rpy	459	iam "[what]"
act_first_review_a67a2c9b	me	Алекс молча встал из-за стола и отошёл к окну	game/act_first.rpy	463	me "[what]"
act_first_review_bcdf1b07	me	В этот момент я ощутила обиду от недоверия, ведь о думает, что я просто начиталась комиксов	game/act_first.rpy	465	me "[what]"
act_first_review_4ff98090	iam	Я не могу поступить иначе, после того, через что довелось пройти	game/act_first.rpy	467	iam "[what]"
act_first_review_92e7c8c2	me	Алекс резко развернулся и за долю секунды снова оказался за столом.	game/act_first.rpy	471	me "[what]"
act_first_review_db55fa19	fake_knight	...	game/act_first.rpy	477	fake_knight "[what]"
act_first_review_b5de31ed	fake_knight	И через что же?	game/act_first.rpy	479	fake_knight "[what]"
act_first_review_2cae5283	iam	...	game/act_first.rpy	481	iam "[what]"
act_first_review_a85e8e81	me	События триггеров является моей персональной информацией, которая...	game/act_first.rpy	483	me "[what]"
act_first_review_a964d85e	fake_knight	Которая очень важна для меня, чтобы принять итоговое решение	game/act_first.rpy	485	fake_knight "[what]"
act_first_review_0447db5e	me	Обида трансформировалась в чувство неуверенности и подавлености, словно вынуждая меня обращаться к памяти	game/act_first.rpy	489	me "[what]"
act_first_review_b782cbbd	me	Это наводило ужас!	game/act_first.rpy	491	me "[what]"
act_first_review_4d316f4a	me	Меня буквально начало трясти.	game/act_first.rpy	493	me "[what]"
act_first_review_2015d66a	iam	Я совершенно уверена, что я не должна сообщать свой триггер	game/act_first.rpy	495	iam "[what]"
act_first_review_52d73a7a	fake_knight	Для тех, кто хочет стать Стражем нужно осознание принципов, а не слепое следование правилам	game/act_first.rpy	499	fake_knight "[what]"
act_first_review_491a3078	fake_knight	Ты не сможешь добиться успеха в командой работе, если не будешь откровенна	game/act_first.rpy	501	fake_knight "[what]"
act_first_review_8d7c871c	fake_knight	А действовать в одиночку, когда есть те, кто на тебя полагается - уж лучше вообще податься в бродяги и держаться подальше от Протектората	game/act_first.rpy	506	fake_knight "[what]"
act_first_review_6bce3a7d	me	Он заметно повысил голос.	game/act_first.rpy	508	me "[what]"
act_first_review_9598bb4f	me	Это злило и в то же время пугало.	game/act_first.rpy	510	me "[what]"
act_first_review_5962ef0c	me	То что он говорил, звучало не так уж и не логично.	game/act_first.rpy	512	me "[what]"
act_first_review_cf335012	me	И тут, что-то во мне начинало медленно рушиться.	game/act_first.rpy	514	me "[what]"
act_first_review_3873e99a	me	Словно пробераясь через шипастые кусты, я начинала восстанавливать в голове картинку, которой не возвращалась несколько лет.	game/act_first.rpy	516	me "[what]"
act_first_review_3a2a66e5	iam	Мне было всего 15, мы с Грегом...	game/act_first.rpy	518	iam "[what]"
act_first_review_b340d76d	me	Мою речь прервала звук резко открывающейся двери	game/act_first.rpy	522	me "[what]"
act_first_review_5eada836	nobody_legion	Рыцарь, какого чёрта ты опять это делаешь?	game/act_first.rpy	524	nobody_legion "[what]"
act_first_review_b7ecb48c	me	Я окинула взглядом дверь	game/act_first.rpy	526	me "[what]"
act_first_review_dbb79da2	me	Там стояла женщина, одетая как римский воин с оружием, напоминающим то ли копьё, то ли алебарду.	game/act_first.rpy	534	me "[what]"
act_first_review_77311d25	me	Легион!	game/act_first.rpy	536	me "[what]"
act_first_review_3904e27b	me	Точно, одна из наиболее влиятельных кейпов Броктон Бей.	game/act_first.rpy	538	me "[what]"
act_first_review_5e6a0188	me	Ещё до событий, одноклассники подарили мне её фигурку на день рождения.	game/act_first.rpy	540	me "[what]"
act_first_review_726b0c9a	legion	Свалил отсюда немедленно	game/act_first.rpy	542	legion "[what]"
act_first_review_634622e6	me	Рыцарь мгновенно встал из-за стола и пробежал прямо мимо неё в открытую дверь.	game/act_first.rpy	544	me "[what]"
act_first_review_59a754f4	me	Теперь Легион пристально смотрела на меня.	game/act_first.rpy	546	me "[what]"
act_first_review_2638da1f	legion	Новенькая да?	game/act_first.rpy	550	legion "[what]"
act_first_review_6fe3c7f3	iam	Да, меня зовут Искра...	game/act_first.rpy	552	iam "[what]"
act_first_review_b47092c5	iam	А что здесь собственно говоря происходит?	game/act_first.rpy	554	iam "[what]"
act_first_review_52e2d0f5	me	Она закрыла дверь и проследовала к столу.	game/act_first.rpy	558	me "[what]"
act_first_review_45ee6501	me	Теперь я обратила внимание, что её рост минимум превышал два метра.	game/act_first.rpy	560	me "[what]"
act_first_review_84703656	me	Просто охереть!	game/act_first.rpy	562	me "[what]"
act_first_review_40c78c3b	legion	Стоило мне опоздать на 10 минут, как этот еблан, опять разводит новичков на откровенные вопросы.	game/act_first.rpy	566	legion "[what]"
act_first_review_baf45479	iam	В смысле?	game/act_first.rpy	568	iam "[what]"
act_first_review_eb198eb6	legion	В смысле прикидывается, что проводит интервью, а в итоге задаёт неудобный вопросы.	game/act_first.rpy	570	legion "[what]"
act_first_review_652e6710	legion	Тиару он вообще в своё время довёл до приступа.	game/act_first.rpy	572	legion "[what]"
act_first_review_ef60516a	me	Смутно припоминая кто такая Тиара, я пыталась оклематься от недоумения.	game/act_first.rpy	574	me "[what]"
act_first_review_60b4defc	me	Легион многозначительно взяла бланк, который заполнял Алекс.	game/act_first.rpy	576	me "[what]"
act_first_review_fd5fb719	legion	Ну хоть членами не изрисовал как в прошлый раз.	game/act_first.rpy	578	legion "[what]"
act_first_review_fd266067	legion	Я перезаполню твои данные, а тебе сейчас нужно немного времени освоиться.	game/act_first.rpy	580	legion "[what]"
act_first_review_b02f2f91	me	Легион протянула мне ключ-карту.	game/act_first.rpy	582	me "[what]"
act_first_review_6be4894f	legion	Передохни в комнате S137, на 13 этаже.	game/act_first.rpy	584	legion "[what]"
act_first_review_984e021b	legion	Там ты найдёшь видеоролик онбординга. Основная информация для новых стражей и история Протектората.	game/act_first.rpy	586	legion "[what]"
act_first_review_a76d818a	legion	Посмотри, а затем можешь отдохнуть.	game/act_first.rpy	588	legion "[what]"
act_first_review_d9389983	legion	Завтра тебе придёт сообщение и ты сможешь познакомиться с будущей командой.	game/act_first.rpy	590	legion "[what]"
act_first_review_67c0e618	me	Я ощутила невероятный прилив сил и страх, который ещё недавно готов был поразить меня, улетучился во мгновение	game/act_first.rpy	592	me "[what]"
act_first_review_8f384aec	iam	Спасибо! Очень рада была познакомиться.	game/act_first.rpy	596	iam "[what]"
act_first_review_79e2c23f	me	И не дожидаясь ответа - я выбежала из кабинета, а затем отправилась в указанную мне комнату.	game/act_first.rpy	598	me "[what]"
act_first_wormstory_1bd11836	me	Подготовленная мне комната выглядела очень уютно.	game/act_first.rpy	609	me "[what]"
act_first_wormstory_565b9bca	me	Когда я закрыла дверь, я ощутила изоляцию от всех тревог.	game/act_first.rpy	611	me "[what]"
act_first_wormstory_1a8a394b	me	Собеседование закончилось, я это сделала и имею полное право отдохнуть.	game/act_first.rpy	613	me "[what]"
act_first_wormstory_d32660da	me	Я легла на кровать и включила телевизор.	game/act_first.rpy	615	me "[what]"
act_first_wormstory_4dcfcbd9	me	Видео, о котором мне говорила Легион, уже было готово к просмотру.	game/act_first.rpy	617	me "[what]"
act_first_wormstory_43429c2e	me	Стоило только нажать кнопку.	game/act_first.rpy	619	me "[what]"
act_first_wormstory_469b9005	me	Я устроилась по удобнее и запустила его.	game/act_first.rpy	621	me "[what]"
act_first_wormstory_3d7df63a	dictor	1982 год	game/act_first.rpy	629	dictor "[what]"
act_first_wormstory_b7da8126	dictor	Безмолвный человек, объятый золотым сиянием, обнаруженный посреди Атлантического океана проходящим мимо круизным судном.	game/act_first.rpy	631	dictor "[what]"
act_first_wormstory_b90986a9	dictor	Человек излечивает смертельно больного пассажира и исчезает во вспышке золотого света.	game/act_first.rpy	633	dictor "[what]"
act_first_wormstory_049cc246	dictor	Спустя месяцы, новое появление: золотой человек спасает людей в горящем здании в ЮАР. 	game/act_first.rpy	638	dictor "[what]"
act_first_wormstory_c74830ed	dictor	Заголовки газет, не успевающие за событиями.	game/act_first.rpy	640	dictor "[what]"
act_first_wormstory_01d6856f	dictor	Золотой человек предотвращает крушение самолета и множество других катастроф.	game/act_first.rpy	645	dictor "[what]"
act_first_wormstory_3e4326db	dictor	Единственный ответ, который удалось от него услышать, был на вопрос 'Кто вы?'.	game/act_first.rpy	647	dictor "[what]"
act_first_wormstory_43430342	zion	СЫН!	game/act_first.rpy	652	zion "[what]"
act_first_wormstory_2c0c0b03	dictor	1987	game/act_first.rpy	657	dictor "[what]"
act_first_wormstory_f49778e7	dictor	Холодная война закончилась в результате устроенного Сыном ядерного разоружения сверхдержав.	game/act_first.rpy	659	dictor "[what]"
act_first_wormstory_5d3180f5	dictor	Тысячи ядерных боеголовок и военных объектов приведены в негодность.	game/act_first.rpy	661	dictor "[what]"
act_first_wormstory_de4861cb	dictor	Мир теряется в догадках, кем является Сын. Кто-то видит в нем Бога, кто-то - мессию, кто-то - героя.	game/act_first.rpy	666	dictor "[what]"
act_first_wormstory_87127af0	dictor	Другие спекулируют, является ли он человеком или же это иная, быть может, даже инопланетная форма жизни.	game/act_first.rpy	668	dictor "[what]"
act_first_wormstory_19c63b71	dictor	Его перемещения по планете хаотичны, непредсказуемы.	game/act_first.rpy	670	dictor "[what]"
act_first_wormstory_6595a41e	dictor	Ни одна из возникших теорий того, как именно он выбирает новое место своего появления, не подтвердилась.	game/act_first.rpy	672	dictor "[what]"
act_first_wormstory_8e276d32	dictor	И всё же...	game/act_first.rpy	674	dictor "[what]"
act_first_wormstory_3a08ff61	dictor	Он спасает людей!	game/act_first.rpy	676	dictor "[what]"
act_first_wormstory_eef2beb3	dictor	В мире начинаются по истине переломное событие.	game/act_first.rpy	681	dictor "[what]"
act_first_wormstory_2f5193ef	dictor	Люди, попавшие в безвыходные ситуации, потерявшие близких. Люди, чья жизнь была разрушена, потерявшие надежду.	game/act_first.rpy	683	dictor "[what]"
act_first_wormstory_e4919e58	dictor	Те кто подверглись сильнейшим страданиям или чудовищному ментальному стрессу...	game/act_first.rpy	685	dictor "[what]"
act_first_wormstory_8c6e4c5c	dictor	Неожиданно открывают в себе сверхспособности	game/act_first.rpy	687	dictor "[what]"
act_first_wormstory_a867dcae	dictor	Создание материи из ничего. Сверхчеловеческое мышление. Невероятная выносливость. Способность полета. Гениальные познания в технологиях.	game/act_first.rpy	692	dictor "[what]"
act_first_wormstory_d33271bb	dictor	Сотни разных способностей. Сотни людей по всей планете.	game/act_first.rpy	694	dictor "[what]"
act_first_wormstory_31ef9dbb	dictor	Учёные стали называть их 'паралюди'.	game/act_first.rpy	696	dictor "[what]"
act_first_wormstory_560856f0	dictor	Общество же придумало иное название - кейпы.	game/act_first.rpy	698	dictor "[what]"
act_first_wormstory_ebee13ab	dictor	1992 год	game/act_first.rpy	700	dictor "[what]"
act_first_wormstory_4428f3ec	dictor	За 5 лет мир изменился радикальным образом	game/act_first.rpy	705	dictor "[what]"
act_first_wormstory_dab601c0	dictor	Тысячи кейпов по всему миру	game/act_first.rpy	707	dictor "[what]"
act_first_wormstory_2c4a3f8c	dictor	Словно естественным путём, кейпы переняли свой образ из комиксов и кинематографа.	game/act_first.rpy	709	dictor "[what]"
act_first_wormstory_b24301e7	dictor	Паралюди облачались в футуристические костюмы, стали скрывать свою личность, придумывать себе прозвища.	game/act_first.rpy	711	dictor "[what]"
act_first_wormstory_fe510da9	dictor	Общество же быстро поделило кейпов, по привычным им понятиям...	game/act_first.rpy	713	dictor "[what]"
act_first_wormstory_acbf4520	dictor	На супергероев и суперзлодеев.	game/act_first.rpy	715	dictor "[what]"
act_first_wormstory_d94af85e	dictor	Невероятное многообразие кейпов и невозможностью контроллировать бесчисленное количество сверхспособностей, казалось, приведёт к катастрофе.	game/act_first.rpy	717	dictor "[what]"
act_first_wormstory_0b257eb5	dictor	Казалось, паралюдей может объединить только общий враг.	game/act_first.rpy	719	dictor "[what]"
act_first_wormstory_1e84f73a	dictor	И этот общий враг - появился...	game/act_first.rpy	721	dictor "[what]"
act_first_wormstory_3a19344f	dictor	1992 год, Иран	game/act_first.rpy	726	dictor "[what]"
act_first_wormstory_cc9ad779	dictor	На поверхность выходит неизвестное существо, высотой около 18 метров.	game/act_first.rpy	733	dictor "[what]"
act_first_wormstory_ced97588	dictor	Чудовище способно манипулировать энергией, порождать огненные бури, разряды молний, вызывать землетрясения.	game/act_first.rpy	735	dictor "[what]"
act_first_wormstory_9ae2d9e0	dictor	Десятки тысяч смертей невинных людей, сотни мёртвых кейпов.	game/act_first.rpy	737	dictor "[what]"
act_first_wormstory_b0d4f0e8	dictor	Полностью израсходован весь оставшийся ядерный потенциал.	game/act_first.rpy	739	dictor "[what]"
